ProductClass,RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency,AmountUSD
RatesFX,Risk_IRCurve,USD,1,2w,OIS,4000000,USD,4000000
RatesFX,Risk_IRCurve,USD,1,3m,Municipal,-3000000,USD,-3000000
RatesFX,Risk_IRCurve,USD,1,1y,Municipal,2000000,USD,2000000
RatesFX,Risk_IRCurve,USD,1,1y,Prime,3000000,USD,3000000
RatesFX,Risk_IRCurve,USD,1,1y,Prime,-1000000,USD,-1000000
RatesFX,Risk_IRCurve,EUR,1,3y,Libor3m,-2000000,USD,-2000000
RatesFX,Risk_IRCurve,EUR,1,3y,Libor6m,5000000,USD,5000000
RatesFX,Risk_IRCurve,EUR,1,5y,Libor12m,10000000,USD,10000000
RatesFX,Risk_IRCurve,EUR,1,5y,Libor12m,25000000,USD,25000000
RatesFX,Risk_IRCurve,EUR,1,10y,Libor12m,35000000,USD,35000000
RatesFX,Risk_IRCurve,AUD,1,1m,Libor3m,2000000,USD,2000000
RatesFX,Risk_IRCurve,AUD,1,6m,Libor3m,3000000,USD,3000000
RatesFX,Risk_IRCurve,AUD,1,2y,Libor3m,-2000000,USD,-2000000
RatesFX,Risk_IRCurve,CHF,1,15y,Libor6m,-4000000,USD,-4000000
RatesFX,Risk_IRCurve,CHF,1,20y,Libor6m,10000000,USD,10000000
RatesFX,Risk_IRCurve,CHF,1,30y,Libor6m,18000000,USD,18000000
RatesFX,Risk_Inflation,CHF,,,,-10000000,USD,-10000000
RatesFX,Risk_XCcyBasis,CHF,,,,30000000,USD,30000000
RatesFX,Risk_IRCurve,JPY,2,2w,Libor1m,-1000000,USD,-1000000
RatesFX,Risk_IRCurve,JPY,2,1m,Libor1m,-1500000,USD,-1500000
RatesFX,Risk_IRCurve,JPY,2,3m,Libor3m,1500000,USD,1500000
RatesFX,Risk_IRCurve,JPY,2,6m,Libor3m,2000000,USD,2000000
RatesFX,Risk_IRCurve,JPY,2,1y,Libor6m,3000000,USD,3000000
RatesFX,Risk_IRCurve,JPY,2,2y,Libor6m,4000000,USD,4000000
RatesFX,Risk_IRCurve,JPY,2,3y,Libor6m,5000000,USD,5000000
RatesFX,Risk_IRCurve,JPY,2,5y,Libor12m,20000000,USD,20000000
RatesFX,Risk_IRCurve,JPY,2,10y,Libor12m,30000000,USD,30000000
RatesFX,Risk_IRCurve,JPY,2,15y,Libor12m,-1000000,USD,-1000000
RatesFX,Risk_IRCurve,JPY,2,20y,Libor12m,-2000000,USD,-2000000
RatesFX,Risk_IRCurve,JPY,2,30y,Libor12m,3000000,USD,3000000
RatesFX,Risk_Inflation,JPY,,,,5000000,USD,5000000
RatesFX,Risk_XCcyBasis,JPY,,,,500000,USD,500000
RatesFX,Risk_IRCurve,CNY,3,2w,OIS,1000000,USD,1000000
RatesFX,Risk_IRCurve,CNY,3,1m,OIS,1500000,USD,1500000
RatesFX,Risk_IRCurve,CNY,3,3m,Libor1m,-500000,USD,-500000
RatesFX,Risk_IRCurve,CNY,3,6m,Libor3m,-1000000,USD,-1000000
RatesFX,Risk_IRCurve,MXN,3,1y,Libor6m,9000000,USD,9000000
RatesFX,Risk_IRCurve,MXN,3,2y,Libor12m,10000000,USD,10000000
RatesFX,Risk_IRCurve,MXN,3,3y,OIS,-500000,USD,-500000
RatesFX,Risk_IRCurve,MXN,3,5y,OIS,-1000000,USD,-1000000
Credit,Risk_IRCurve,BRL,3,10y,Libor6m,14000000,USD,14000000
Credit,Risk_IRCurve,BRL,3,15y,Libor6m,30000000,USD,30000000
Credit,Risk_IRCurve,BRL,3,20y,Libor12m,-800000,USD,-800000
Credit,Risk_IRCurve,BRL,3,30y,Libor12m,-800000,USD,-800000
Credit,Risk_Inflation,BRL,,,,2000000,USD,2000000
Credit,Risk_XCcyBasis,BRL,,,,-1000000,USD,-1000000
